title,url
topscoder/nuclei-wordfence-cve: You just found a hidden gem 💎 This repo contains a massive amount (8000+) of WordPress related Nuclei templates. Updated daily!,https://github.com/topscoder/nuclei-wordfence-cve
"jassics/security-study-plan: Complete Practical Study Plan to become a successful cybersecurity engineer based on roles like Pentest, AppSec, Cloud Security, DevSecOps and so on...",https://github.com/jassics/security-study-plan
"cncf/tag-security: 🔐CNCF Security Technical Advisory Group -- secure access, policy control, privacy, auditing, explainability and more!",https://github.com/cncf/tag-security/tree/main
itsmetraw/Cybersecurity-Roadmap,https://github.com/itsmetraw/Cybersecurity-Roadmap
Ignitetechnologies/Privilege-Escalation: This cheasheet is aimed at the CTF Players and Beginners to help them understand the fundamentals of Privilege Escalation with examples.,https://github.com/Ignitetechnologies/Privilege-Escalation
jaegeral/security-apis,https://github.com/jaegeral/security-apis
jaredthecoder/awesome-vehicle-security: 🚗 A curated list of resources for learning about vehicle security and car hacking.,https://github.com/jaredthecoder/awesome-vehicle-security
20 cybersecurity projects on GitHub you should check out - Help Net Security,https://www.helpnetsecurity.com/2023/06/08/github-cybersecurity-projects/
ihebski/DefaultCreds-cheat-sheet: One place for all the default credentials to assist the Blue/Red teamers activities on finding devices with default password 🛡️,https://github.com/ihebski/DefaultCreds-cheat-sheet
guardicore/monkey,https://github.com/guardicore/monkey
"cert-orangecyberdefense/ransomware_map: Map tracking ransomware, by OCD World Watch team",https://github.com/cert-orangecyberdefense/ransomware_map
Limmen/awesome-rl-for-cybersecurity: A curated list of resources dedicated to reinforcement learning applied to cyber security.,https://github.com/Limmen/awesome-rl-for-cybersecurity
rapid7/metasploit-framework: Metasploit Framework,https://github.com/rapid7/metasploit-framework
"disclose/bug-bounty-platforms: A community-powered collection of all known bug bounty platforms, vulnerability disclosure platforms, and crowdsourced security platforms currently active on the Internet.",https://github.com/disclose/bug-bounty-platforms
"kargisimos/offensive-bookmarks: A collection of bookmarks for penetration testers, bug bounty hunters, malware developers, reverse engineers and anyone who is just interested in infosec topics.",https://github.com/kargisimos/offensive-bookmarks
projectdiscovery/nuclei,https://github.com/projectdiscovery/nuclei
AggressiveUser/AllForOne,https://github.com/AggressiveUser/AllForOne
gfek/Real-CyberSecurity-Datasets,https://github.com/gfek/Real-CyberSecurity-Datasets
pikpikcu/js-finding: JS Finding can be used to extract JavaScript (JS) files from either a single domain URL or a list of domains. The tool supports various extraction methods and provides additional options for file download and wordlists creation.,https://github.com/pikpikcu/js-finding
"RoseSecurity/Anti-Virus-Evading-Payloads: During the exploitation phase of a pen test or ethical hacking engagement, you will ultimately need to try to cause code to run on target system computers. Whether accomplished by phishing emails, delivering a payload through an exploit, or social engineering, running code on target computers is part of most penetration tests. That means that you will need to be able to bypass antivirus software or other host-based protection for successful exploitation. The most effective way to avoid antivirus detection on your target's computers is to create your own customized backdoor. Here is a simple way to evade anti-virus software when creating backdoors!",https://github.com/RoseSecurity/Anti-Virus-Evading-Payloads
"FofaInfo/Awesome-FOFA: The FOFA Library collects usage tips, common scenarios, F&Q, and more for FOFA.",https://github.com/FofaInfo/Awesome-FOFA
netbiosX/Checklists,https://github.com/netbiosX/Checklists
"shadawck/awesome-anti-forensic: Tools and packages that are used for countering forensic activities, including encryption, steganography, and anything that modify attributes. This all includes tools to work with anything in general that makes changes to a system for the purposes of hiding information.",https://github.com/shadawck/awesome-anti-forensic
NoDataFound/hackGPT,https://github.com/NoDataFound/hackGPT
4ndr34z/prenum,https://github.com/4ndr34z/prenum
fortra/nanodump: The swiss army knife of LSASS dumping,https://github.com/fortra/nanodump
DeadS3c/DarkWeb,https://github.com/DeadS3c/DarkWeb
PENTESTING-BIBLE/Windows Notes + Cheatsheet.pdf at master · blaCCkHatHacEEkr/PENTESTING-BIBLE,https://github.com/blaCCkHatHacEEkr/PENTESTING-BIBLE/blob/master/2-part-100-article/new_articles/Windows%20Notes%20+%20Cheatsheet.pdf
Ignitetechnologies - Overview,https://github.com/Ignitetechnologies
"Raikia/CredNinja: A multithreaded tool designed to identify if credentials are valid, invalid, or local admin valid credentials within a network at-scale via SMB, plus now with a user hunter",https://github.com/Raikia/CredNinja
owasp-amass/amass,https://github.com/owasp-amass/amass
ThunderSon - Overview,https://github.com/ThunderSon
righettod - Repositories,https://github.com/righettod?tab=repositories
ITI/ICS-Security-Tools,https://github.com/ITI/ICS-Security-Tools
guardrailsio/awesome-python-security: Awesome Python Security resources 🕶🐍🔐,https://github.com/guardrailsio/awesome-python-security
Manisso/fsociety,https://github.com/Manisso/fsociety
"trimstray/the-book-of-secret-knowledge: A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",https://github.com/trimstray/the-book-of-secret-knowledge
GoVanguard/list-infosec-encyclopedia,https://github.com/GoVanguard/list-infosec-encyclopedia
SigmaHQ/sigma: Main Sigma Rule Repository,https://github.com/SigmaHQ/sigma
